createdAt,status,seqNumber,slot,completedAt,pax,grossTotal,nettTotal,type
2023-08-19 10:21:19.685 UTC,VOIDED,1703,01,2023-08-19 10:21:52.124 UTC,1,0.0,0.0,Dine In
2023-08-19 02:54:53.169 UTC,COMPLETED,1658,01,2023-08-19 03:30:30.183 UTC,1,14.9,16.4,Dine In
2023-08-19 08:48:12.903 UTC,VOIDED,1700,01,2023-08-19 10:21:12.455 UTC,1,0.0,0.0,Dine In
2023-08-19 12:01:57.741 UTC,COMPLETED,1706,01,2023-08-19 12:03:13.132 UTC,1,13.9,15.3,Dine In
2023-08-19 14:25:01.591 UTC,COMPLETED,1720,01,2023-08-19 14:37:25.448 UTC,1,21.8,24.0,Dine In
2023-08-19 07:43:07.913 UTC,COMPLETED,1692,02,2023-08-19 08:07:41.836 UTC,1,18.6,20.5,Dine In
2023-08-19 01:43:35.387 UTC,COMPLETED,1650,02,2023-08-19 02:05:13.069 UTC,1,26.3,28.9,Dine In
2023-08-19 12:51:44.259 UTC,COMPLETED,1713,02,2023-08-19 13:10:35.666 UTC,1,23.7,24.8,Dine In
2023-08-19 03:12:09.051 UTC,COMPLETED,1662,02,2023-08-19 04:02:17.588 UTC,2,30.8,33.9,Dine In
2023-08-19 15:30:40.371 UTC,COMPLETED,1727,02,2023-08-19 16:47:18.23 UTC,1,27.6,30.4,Dine In
2023-08-19 00:34:33.096 UTC,COMPLETED,1640,02,2023-08-19 01:06:59.15 UTC,1,33.7,37.1,Dine In
2023-08-19 00:06:08.086 UTC,COMPLETED,1635,02,2023-08-19 00:34:22.864 UTC,1,21.3,23.4,Dine In
2023-08-19 06:18:57.753 UTC,COMPLETED,1685,02,2023-08-19 06:59:11.555 UTC,1,30.5,33.6,Dine In
2023-08-19 04:45:45.984 UTC,VOIDED,1671,02,2023-08-19 04:46:29.811 UTC,1,0.0,0.0,Dine In
2023-08-19 05:00:33.563 UTC,COMPLETED,1674,03,2023-08-19 05:11:12.306 UTC,1,44.2,44.2,Dine In
2023-08-19 00:45:40.941 UTC,COMPLETED,1641,03,2023-08-19 01:25:38.327 UTC,1,26.8,29.5,Dine In
2023-08-19 01:54:18.459 UTC,COMPLETED,1651,03,2023-08-19 02:30:00.657 UTC,2,41.0,45.1,Dine In
2023-08-19 17:52:40.881 UTC,COMPLETED,1742,03,2023-08-19 18:21:18.908 UTC,1,64.1,70.5,Dine In
2023-08-19 05:34:23.606 UTC,COMPLETED,1679,03,2023-08-19 05:58:10.992 UTC,1,14.9,16.4,Dine In
2023-08-19 07:57:09.429 UTC,COMPLETED,1694,03,2023-08-19 08:30:04.287 UTC,2,47.4,52.1,Dine In
2023-08-19 16:08:44.699 UTC,COMPLETED,1734,03,2023-08-19 16:26:25.956 UTC,3,29.2,32.1,Dine In
2023-08-19 02:56:56.994 UTC,COMPLETED,1659,03,2023-08-19 03:19:38.79 UTC,2,47.2,51.9,Dine In
2023-08-19 15:31:03.967 UTC,COMPLETED,1728,03,2023-08-19 15:48:27.905 UTC,1,16.9,18.6,Dine In
2023-08-19 08:05:26.753 UTC,COMPLETED,1695,05,2023-08-19 08:34:39.888 UTC,5,19.9,21.9,Dine In
2023-08-19 03:59:25.174 UTC,COMPLETED,1667,05,2023-08-19 04:37:03.835 UTC,2,36.3,39.9,Dine In
2023-08-19 07:35:09.569 UTC,COMPLETED,1690,05,2023-08-19 07:56:32.432 UTC,1,51.1,56.2,Dine In
2023-08-19 03:02:37.625 UTC,COMPLETED,1661,05,2023-08-19 03:47:47.953 UTC,2,53.7,59.1,Dine In
2023-08-19 12:41:44.284 UTC,COMPLETED,1709,05,2023-08-19 13:27:14.985 UTC,3,30.2,33.2,Dine In
2023-08-19 05:16:21.042 UTC,COMPLETED,1677,05,2023-08-19 06:04:00.215 UTC,2,53.4,58.7,Dine In
2023-08-19 13:46:06.03 UTC,COMPLETED,1718,05,2023-08-19 14:03:25.171 UTC,2,30.0,33.0,Dine In
2023-08-19 01:07:04.562 UTC,COMPLETED,1643,05,2023-08-19 01:44:08.027 UTC,1,36.1,39.7,Dine In
2023-08-19 01:55:22.929 UTC,COMPLETED,1652,05,2023-08-19 02:27:01.726 UTC,1,39.3,42.7,Dine In
2023-08-19 15:08:29.613 UTC,COMPLETED,1723,05,2023-08-19 16:03:59.116 UTC,3,55.1,60.6,Dine In
2023-08-19 17:58:53.107 UTC,COMPLETED,1744,05,2023-08-19 18:02:23.128 UTC,1,8.0,8.0,Dine In
2023-08-19 06:20:00.109 UTC,COMPLETED,1686,05,2023-08-19 06:54:16.657 UTC,2,37.8,39.5,Dine In
2023-08-19 00:36:27.786 UTC,COMPLETED,1639,05,2023-08-19 01:03:47.698 UTC,2,33.5,36.9,Dine In
2023-08-19 07:41:58.259 UTC,COMPLETED,1691,06,2023-08-19 08:03:30.337 UTC,1,34.3,37.7,Dine In
2023-08-19 12:16:10.497 UTC,COMPLETED,1707,06,2023-08-19 12:38:23.773 UTC,4,43.2,47.5,Dine In
2023-08-19 00:33:49.25 UTC,COMPLETED,1638,06,2023-08-19 01:03:19.895 UTC,1,63.2,68.0,Dine In
2023-08-19 01:38:13.317 UTC,COMPLETED,1648,06,2023-08-19 02:04:57.307 UTC,1,44.8,49.3,Dine In
2023-08-19 06:38:04.869 UTC,COMPLETED,1688,06,2023-08-19 07:01:26.941 UTC,3,40.8,44.9,Dine In
2023-08-19 15:11:44.515 UTC,COMPLETED,1724,06,2023-08-19 15:32:24.501 UTC,1,33.9,37.3,Dine In
2023-08-19 17:16:19.943 UTC,COMPLETED,1739,07,2023-08-19 17:55:43.611 UTC,10,68.8,75.7,Dine In
2023-08-19 15:37:09.729 UTC,COMPLETED,1730,07,2023-08-19 16:31:56.472 UTC,3,78.9,86.8,Dine In
2023-08-19 03:47:54.49 UTC,COMPLETED,1665,07,2023-08-19 04:31:45.819 UTC,4,68.7,75.6,Dine In
2023-08-19 02:31:59.273 UTC,COMPLETED,1656,07,2023-08-19 03:02:24.733 UTC,4,46.3,50.9,Dine In
2023-08-19 08:18:53.859 UTC,COMPLETED,1696,08,2023-08-19 09:33:13.719 UTC,2,35.3,38.8,Dine In
2023-08-19 17:52:32.969 UTC,COMPLETED,1741,08,2023-08-19 18:09:28.747 UTC,2,34.9,38.4,Dine In
2023-08-19 00:20:37.725 UTC,COMPLETED,1637,08,2023-08-19 00:51:54.976 UTC,2,63.2,66.4,Dine In
2023-08-19 05:13:14.131 UTC,COMPLETED,1676,08,2023-08-19 06:03:18.458 UTC,2,38.8,42.7,Dine In
2023-08-19 13:49:00.366 UTC,COMPLETED,1719,08,2023-08-19 14:18:35.325 UTC,1,18.6,20.5,Dine In
2023-08-19 03:02:11.826 UTC,COMPLETED,1660,08,2023-08-19 03:44:55.041 UTC,3,37.8,41.6,Dine In
2023-08-19 13:09:37.535 UTC,COMPLETED,1716,08,2023-08-19 13:26:32.427 UTC,2,15.9,17.5,Dine In
2023-08-19 01:26:32.764 UTC,COMPLETED,1646,08,2023-08-19 01:52:45.63 UTC,1,33.5,36.9,Dine In
2023-08-19 15:16:46.514 UTC,COMPLETED,1726,08,2023-08-19 15:50:55.727 UTC,8,48.2,53.0,Dine In
2023-08-19 05:30:00.082 UTC,COMPLETED,1678,09,2023-08-19 06:00:29.933 UTC,2,27.9,30.7,Dine In
2023-08-19 06:08:51.713 UTC,COMPLETED,1684,09,2023-08-19 06:37:32.983 UTC,2,43.0,47.3,Dine In
2023-08-19 01:10:02.853 UTC,COMPLETED,1644,09,2023-08-19 01:39:49.683 UTC,3,52.1,57.3,Dine In
2023-08-19 02:26:19.197 UTC,COMPLETED,1654,09,2023-08-19 03:14:53.13 UTC,3,50.0,55.0,Dine In
2023-08-19 01:39:45.325 UTC,COMPLETED,1649,10,2023-08-19 02:06:38.731 UTC,3,31.8,35.0,Dine In
2023-08-19 05:09:51.118 UTC,COMPLETED,1675,10,2023-08-19 05:47:00.989 UTC,3,35.8,39.4,Dine In
2023-08-19 05:57:09.947 UTC,COMPLETED,1682,10,2023-08-19 06:41:47.195 UTC,3,68.1,74.9,Dine In
2023-08-19 00:45:38.514 UTC,COMPLETED,1642,10,2023-08-19 01:26:57.929 UTC,2,27.4,30.1,Dine In
2023-08-19 15:39:04.987 UTC,COMPLETED,1731,10,2023-08-19 16:51:36.169 UTC,10,230.6,253.7,Dine In
2023-08-19 02:28:55.242 UTC,COMPLETED,1655,10,2023-08-19 03:08:01.354 UTC,3,70.4,73.6,Dine In
2023-08-19 04:55:00.93 UTC,COMPLETED,1672,11,2023-08-19 05:13:12.255 UTC,1,13.7,15.1,Dine In
2023-08-19 14:26:32.124 UTC,COMPLETED,1721,11,2023-08-19 15:06:51.434 UTC,1,34.6,36.2,Dine In
2023-08-19 07:15:03.369 UTC,COMPLETED,1689,11,2023-08-19 07:49:02.1 UTC,2,47.2,51.9,Dine In
2023-08-19 04:16:29.322 UTC,COMPLETED,1669,11,2023-08-19 04:50:01.243 UTC,2,66.0,71.1,Dine In
2023-08-19 13:38:39.263 UTC,COMPLETED,1717,11,2023-08-19 13:54:22.778 UTC,2,29.4,32.3,Dine In
2023-08-19 03:24:18.467 UTC,COMPLETED,1664,11,2023-08-19 03:56:51.947 UTC,2,41.3,45.4,Dine In
2023-08-19 07:55:30.547 UTC,COMPLETED,1693,11,2023-08-19 08:46:15.192 UTC,3,70.7,77.8,Dine In
2023-08-19 06:04:19.949 UTC,COMPLETED,1683,11,2023-08-19 06:34:28.543 UTC,2,23.9,26.3,Dine In
2023-08-19 01:23:44.361 UTC,COMPLETED,1645,11,2023-08-19 02:00:06.368 UTC,1,40.0,44.0,Dine In
2023-08-19 12:28:57.68 UTC,COMPLETED,1708,11,2023-08-19 13:23:56.422 UTC,3,50.3,55.3,Dine In
2023-08-19 08:50:26.748 UTC,COMPLETED,1699,12,2023-08-19 09:08:05.102 UTC,2,33.5,36.9,Dine In
2023-08-19 15:16:52.28 UTC,COMPLETED,1725,12,2023-08-19 15:38:12.318 UTC,1,21.9,24.1,Dine In
2023-08-19 05:49:30.056 UTC,COMPLETED,1680,12,2023-08-19 06:14:31.207 UTC,1,19.4,0.0,Dine In
2023-08-19 16:07:10.591 UTC,COMPLETED,1733,13,2023-08-19 16:28:19.968 UTC,1,15.9,17.5,Dine In
2023-08-19 16:52:58.434 UTC,COMPLETED,1737,15,2023-08-19 17:35:26.246 UTC,1,20.1,22.1,Dine In
2023-08-19 02:47:01.897 UTC,COMPLETED,1657,15,2023-08-19 06:31:46.408 UTC,2,75.8,83.4,Dine In
2023-08-19 21:46:47.295 UTC,COMPLETED,1747,15,2023-08-19 22:37:30.824 UTC,15,7.0,7.7,Dine In
2023-08-19 12:49:02.05 UTC,COMPLETED,1712,15,2023-08-19 13:11:47.498 UTC,2,23.0,25.3,Dine In
2023-08-19 01:34:03.579 UTC,COMPLETED,1647,15,2023-08-19 02:44:43.884 UTC,1,19.4,21.3,Dine In
2023-08-19 16:22:04.457 UTC,COMPLETED,1736,16,2023-08-19 16:56:28.645 UTC,4,100.0,110.0,Dine In
2023-08-19 08:52:42.986 UTC,COMPLETED,1701,16,2023-08-19 09:31:57.831 UTC,1,41.8,46.0,Dine In
2023-08-19 17:56:13.486 UTC,COMPLETED,1743,16,2023-08-19 18:42:17.323 UTC,16,85.3,89.1,Dine In
2023-08-19 03:19:07.92 UTC,COMPLETED,1663,16,2023-08-19 04:06:00.136 UTC,2,49.5,54.5,Dine In
2023-08-19 13:01:06.991 UTC,COMPLETED,1715,16,2023-08-19 13:45:37.001 UTC,1,20.9,23.0,Dine In
2023-08-19 17:18:27.618 UTC,VOIDED,1740,16,2023-08-19 17:45:33.205 UTC,16,0.0,0.0,Dine In
2023-08-19 21:24:33.525 UTC,COMPLETED,1746,16,2023-08-19 22:21:36.195 UTC,16,66.7,73.4,Dine In
2023-08-19 15:42:53.491 UTC,COMPLETED,1732,16,2023-08-19 16:14:12.494 UTC,16,39.8,43.8,Dine In
2023-08-19 09:54:35.282 UTC,COMPLETED,1702,16,2023-08-19 10:17:07.092 UTC,16,14.5,16.0,Dine In
2023-08-19 05:50:56.962 UTC,COMPLETED,1681,16,2023-08-19 06:02:02.432 UTC,2,53.6,53.6,Dine In
2023-08-19 08:38:48.351 UTC,VOIDED,1698,17,2023-08-19 08:45:05.869 UTC,1,0.0,0.0,Dine In
2023-08-19 04:58:40.991 UTC,COMPLETED,1673,17,2023-08-19 05:21:35.085 UTC,1,23.3,25.0,Dine In
2023-08-19 14:27:43.115 UTC,COMPLETED,1722,17,2023-08-19 14:48:05.885 UTC,1,16.9,18.6,Dine In
2023-08-19 02:04:08.868 UTC,COMPLETED,1653,17,2023-08-19 03:46:35.285 UTC,1,68.0,74.8,Dine In
2023-08-19 00:15:58.056 UTC,COMPLETED,1636,17,2023-08-19 00:21:22.081 UTC,1,11.5,11.5,Dine In
2023-08-19 15:33:51.531 UTC,COMPLETED,1729,17,2023-08-19 15:51:49.384 UTC,1,14.9,16.4,Dine In
2023-08-19 16:16:28.564 UTC,COMPLETED,1735,17,2023-08-19 16:35:19.097 UTC,17,12.0,13.2,Dine In
2023-08-19 06:25:20.739 UTC,COMPLETED,1687,17,2023-08-19 06:57:23.79 UTC,2,41.8,46.0,Dine In
2023-08-19 19:06:34.101 UTC,COMPLETED,1745,17,2023-08-19 19:23:38.43 UTC,1,12.0,13.2,Dine In
2023-08-19 03:52:39.331 UTC,COMPLETED,1666,17,2023-08-19 04:18:26.596 UTC,1,20.8,22.9,Dine In
2023-08-19 12:53:36.175 UTC,COMPLETED,1714,18,2023-08-19 13:46:08.803 UTC,1,77.2,84.9,Dine In
2023-08-19 04:19:34.631 UTC,COMPLETED,1670,26,2023-08-19 04:20:22.156 UTC,1,14.9,16.4,Dine In
2023-08-19 04:09:28.996 UTC,COMPLETED,1668,TA24,2023-08-19 04:10:14.248 UTC,0,16.4,16.4,Takeaway
2023-08-19 08:37:43.81 UTC,COMPLETED,1697,TA26,2023-08-19 08:38:37.037 UTC,0,17.4,17.4,Takeaway
2023-08-19 10:22:14.384 UTC,COMPLETED,1704,TA27,2023-08-19 10:25:20.977 UTC,0,13.9,13.9,Takeaway
2023-08-19 10:57:41.339 UTC,COMPLETED,1705,TA28,2023-08-19 11:03:18.927 UTC,0,30.8,29.3,Takeaway
2023-08-19 12:43:41.535 UTC,COMPLETED,1710,TA30,2023-08-19 12:44:48.001 UTC,0,15.4,15.4,Takeaway
2023-08-19 12:48:39.204 UTC,COMPLETED,1711,TA30,2023-08-19 12:48:39.112 UTC,0,15.4,15.4,Takeaway
2023-08-19 16:55:15.305 UTC,COMPLETED,1738,TA32,2023-08-19 17:00:01.704 UTC,0,15.4,15.4,Takeaway
2023-08-19 23:02:20.134 UTC,COMPLETED,1748,TA35,2023-08-19 23:03:03.777 UTC,0,17.4,17.4,Takeaway
2023-08-16 11:26:32.229 UTC,VOIDED,1427,01,2023-08-16 12:34:45.378 UTC,1,0.0,0.0,Dine In
2023-08-16 06:57:21.346 UTC,VOIDED,1412,01,2023-08-16 08:30:07.965 UTC,1,0.0,0.0,Dine In
2023-08-16 02:03:19.725 UTC,COMPLETED,1389,01,2023-08-16 02:29:28.568 UTC,1,14.9,16.4,Dine In
2023-08-16 03:15:02.314 UTC,COMPLETED,1393,02,2023-08-16 03:24:21.36 UTC,1,41.4,41.4,Dine In
2023-08-16 06:02:43.976 UTC,COMPLETED,1410,02,2023-08-16 06:02:52.892 UTC,1,10.0,10.0,Dine In
2023-08-16 08:04:54.847 UTC,COMPLETED,1415,02,2023-08-16 09:02:55.45 UTC,1,77.1,84.8,Dine In
